Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2018,5,May,"10,225",0,29
B00446,COMMUNICAR INCORPORATED,,2020,8,August,"1,196",0,26
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2018,5,May,"5,995",0,17
B00429,SURF CAR SYSTEMS INC,,2020,11,November,"2,230",0,30
B00350,CHAMPION CAR & LIMO SVC. INC.,,2019,10,October,"6,388",0,41
B01711,FLUSHING LIMO TRANSP CORP,,2016,11,November,"14,311",0,73
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2020,5,May,"3,013",0,21
b01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2016,4,April,"1,999",0,16
B01081,GEORGE TOWN MANAGEMENT INC,,2018,9,September,"1,203",0,7
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2017,7,July,65,0,1
B02273,BENI'S LIMOUSINE SERVICE INC,,2018,6,June,24,0,7
B02401,NORTHSIDE BK LLC,,2021,4,April,"1,660",0,31
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2019,2,February,"1,070",0,57
B02406,MY SEDAN LLC,,2019,10,October,423,0,5
B01336,BAY EXPRESS CORP.,,2016,1,January,"4,662",0,26
B00446,COMMUNICAR INCORPORATED,,2017,3,March,"5,684",0,116
B00932,NATASHAS GRP CAR CORP,,2019,1,January,"1,948",0,12
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,"1,285",0,33
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2019,7,July,"1,529",0,13
B02899,NEW BLACK LUXURY CARS CORP,,2017,5,May,"12,272",0,39
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2019,10,October,"1,212",0,10
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2018,9,September,184,0,7
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,1,January,201,0,66
B01537,S.I. SPEED INC.,,2017,11,November,"3,659",0,15
B02924,CELEBRITY LUXURY INC.,,2019,3,March,1,0,1
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2017,11,November,166,0,4
B02670,STRIDE TRANSPORTATION INC.,,2018,5,May,882,0,48
B02207,"EASTERN LUXURY, INC.",,2017,5,May,409,0,89
B02207,"EASTERN LUXURY, INC.",,2016,6,June,538,0,92
B00889,MEXICANA CAR SERVICE INC.,,2016,2,February,"20,114",0,84
B01737,WASHINGTON RAD DISP INC,,2015,5,May,"3,750",0,40
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2019,9,September,"1,024",0,17
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2020,4,April,"9,698",0,128
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2019,5,May,"5,386",0,25
B02279,MATAMOROS CAR SERVICE INC.,,2020,6,June,"4,110",0,14
