Base Name,2015,2016,2017,2018,2019,2020,2021,Total
Total,207235764,259460434,302756131,363228443,363977910,182817109,151741809,1831217600.0
Uber,36275937,70067854,109642713,163103265,181025304,103184679,90414702,753714454.0
Yellow Taxi,146113001,131165055,113496886,102804262,84399031,24648511,15000707,617627453.0
Lyft,2615481,11415958,26361098,44823801,57891012,37252636,34669137,215029123.0
Via,1767709,6085133,10324271,11345582,11279889,2872556,862418,44537558.0
Juno,0,3591647,10682944,13813009,7624010,0,0,35711610.0
Kiss Car Service Inc,370895,977765,778524,565328,344176,206640,112364,3355692.0
Fast Operating Corp,456320,760798,644216,599287,483741,186610,153997,3284969.0
Big Q Car Svc. Inc.,220683,579162,543187,557510,371011,218045,155158,2644756.0
Dat Radio Disp Inc,259356,808400,585460,400358,273410,108700,65651,2501335.0
Riverside Radio Dispatcher,181535,711817,596863,442053,295386,162200,103749,2493603.0
Watson Car Service Inc.,330253,419213,397296,258225,326679,251274,200253,2183193.0
Ultra Radio Disp Inc,131104,337268,277675,315018,441645,398433,275174,2176317.0
La Nueva Quisqueya C/S Inc,303352,526301,454614,343542,273720,133580,97175,2132284.0
"Excellent Car & Limo Service, Inc.",254254,573750,486233,360357,253280,128654,7655,2064183.0
Dial 7 Car & Limousine Service Inc.,319683,577751,356133,349204,268187,77330,67509,2015797.0
"New Golden Horse C/L Svc,Inc.",334208,396014,368201,365745,254542,142444,116547,1977701.0
Bee-Bee Car Service Inc.,156515,244597,176078,142640,411854,398015,367845,1897544.0
3210 Webster Av Prestige C/S,296728,597538,368315,262132,190370,89440,84604,1889127.0
B Q N C/S Corp,155248,591247,577654,226519,145106,109155,52632,1857561.0
High Class Bronx Limo C/S Corp,183887,620984,420451,266093,159353,110186,74481,1835435.0
Agape Luxury Corp.,62488,280893,362684,281233,306607,405045,129419,1828369.0
Seaman Radio Dispatchers Inc,268968,580827,380878,241930,152116,83655,59922,1768296.0
Best Deal Pvt C/S Inc,124590,248977,198500,228219,362692,292268,209228,1664474.0
Ny 88 Express Corp.,230192,361520,357923,341954,235974,82630,50813,1661006.0
Huang Hou Car Services Inc.,320375,369097,291552,256247,161742,59782,52480,1511275.0
La Mexicana Express Inc.,190547,444492,404514,290127,42585,18844,11392,1402501.0
Atlantic Car Svce,53035,318313,270011,235381,211246,148067,123076,1359129.0
First Class C/L Svc Corp,141811,395046,234326,207024,147822,130991,101438,1358458.0
Union Radio Dispatch Inc,272487,304979,283256,206890,112888,67318,61764,1309582.0
Brooklyn Rad Disp Inc,154422,217533,174506,99034,39444,349336,258424,1292699.0
"V.I.T. Car Service, Inc.",185968,283376,296498,217549,146646,77699,49466,1257202.0
Yellowstone Transportation Inc.,350026,321504,226100,195909,135085,19676,0,1248300.0
Xyz Two Way Radio,277284,246537,212009,183003,147800,69273,49163,1185069.0
Veterans Radio Dispatcher Corp.,193372,405998,311323,97473,85597,49221,33877,1176861.0
"Allstate Private Car & Limo,Inc",222918,121393,137885,204993,78740,234843,154193,1154965.0
Elite Limo Plus Inc,123090,142154,182930,253675,236730,97763,73866,1110208.0
Merengue Limo & C/S Inc,47950,141006,169672,140992,234392,179077,156380,1069469.0
New Lots C/S Inc,226846,277117,227118,164193,85148,53685,28117,1062224.0
Unicar Company Inc,120163,240848,204701,196320,140085,87670,66325,1056112.0
"Brunwish Enterprises,Ltd.",199442,285856,239431,179433,71610,29847,22738,1028357.0
Best Deal Black Inc.,0,0,33,93840,344365,331401,250431,1020070.0
"A.T.B. Car And Limousine Service, Inc.",91331,286587,283836,218172,71116,36940,25527,1013509.0
Super Class Radio Disp Inc,217063,223294,211341,109595,97882,103430,39797,1002402.0
New College Car Svce Inc,255139,224940,184152,133394,86563,70673,38699,993560.0
Diplo Rad Disp Inc,109366,273769,165648,124449,138623,94551,71322,977728.0
The New Brooklyn C/S Inc,118549,327860,207289,180529,47915,33291,25219,940652.0
Delancey Transportation Inc.,284089,206155,117895,94689,54450,67992,75269,900539.0
American Base No.1 Inc.,272593,222039,160020,90663,67009,42064,21291,875679.0
Groundanywhere Llc,85373,140080,189005,200016,196369,42837,0,853680.0
Fenix Premium Corp.,322348,327054,100949,47508,21500,3675,9629,832663.0
Fenix Xl Car And Limo Service Corp.,43190,185367,148939,132238,145793,79787,97223,832537.0
"Best Deal Car Service 2,Inc.",31490,49444,11565,74061,267596,216906,177215,828277.0
R C Audubon Svc Inc,136059,177187,173528,122308,88501,76692,53951,828226.0
New Laconia Rad Disp Inc,102438,282532,105886,118014,80549,80707,53990,824116.0
X Radio Dispatcher Inc.,2641,182304,291362,131997,75321,79192,53942,816759.0
Lucky Express Corporation,93391,167195,152466,153073,107224,38947,44113,756409.0
510 Car Service Corp,91928,278967,200523,77026,54648,29519,14205,746816.0
Brooklyn Rides Corp,309,23908,101568,153854,177106,163758,120494,740997.0
Apollo Radio Dispatch Inc.,116695,183041,132578,106115,99956,62303,37790,738478.0
Mexicana Car Service Inc.,106186,240251,167979,105770,56751,33576,24763,735276.0
Arecibo C/S Inc,138273,168673,253228,113671,36986,14965,8409,734205.0
"Vic & Bay Car Service, Inc",57142,144007,108449,87443,120722,124878,88636,731277.0
Ecuadoor Corp,64498,237090,168050,160853,53440,24330,14861,723122.0
High Class Limo Car Svce Corp,52891,205810,163830,111070,71645,51450,66103,722799.0
Broad Dyckman C/S Inc,144463,134280,140601,99206,105070,55379,41980,720979.0
Premium Bronx Corp,58175,201263,250281,42361,63188,57078,43099,715445.0
Dominicana Rad Disp Inc,138677,240519,130023,94867,85567,16017,3075,708745.0
"Concord Limousine 1, Llc",188364,195520,129807,99157,54328,25520,12951,705647.0
Kennedy Rad Disp Inc,162918,201770,124095,101503,40122,51262,23538,705208.0
El Barrio'S Car Service Llc,0,177445,154785,102957,109610,87879,70217,702893.0
Carey Limo N Y Inc,137297,122514,124288,133577,102310,42210,26309,688505.0
Utog 2-Way Radio Inc,60420,199179,136618,117290,87778,41458,33987,676730.0
Vital Transportation Inc.,131074,151293,131457,118398,79606,35104,21229,668161.0
Go Car Corp.,58451,104407,58926,32546,150405,147553,111029,663317.0
New Experience #1 Inc,196422,197244,103096,72270,48765,29845,0,647642.0
Cibao Radio Dispatch,68155,203098,162297,102861,66753,27826,13254,644244.0
"Eastern L.P.B.,Inc.",66469,177642,181541,132356,19709,37934,27465,643116.0
Alfred Holdings Inc.,334061,299605,2596,3232,908,1283,1098,642783.0
Premium Radio Disp & Multi Svc,40827,136224,218970,134471,61997,21801,23472,637762.0
City Line Car Service Inc,89710,205904,128101,100715,60284,29494,21871,636079.0
Nyc 2 Way International Ltd,116149,146907,114590,100725,24128,64395,46371,613265.0
810 Car Svce Corp,37806,217482,89908,81858,69180,52605,63000,611839.0
Inta-Boro Acres Inc,137445,130110,112247,94972,80608,36555,17923,609860.0
Transp Unlimited C/S,80649,133800,102907,88039,76759,58780,49697,590631.0
Eastland Black Cars Corp,0,0,10622,109480,267890,122838,77160,587990.0
"Riverside Plus Radio Dispatch, Inc.",55564,146665,118677,97301,87814,50033,30124,586178.0
Freedom Limo & Car Service,54939,166739,138002,122632,43899,42211,17623,586045.0
"Twr Car & Limo, Inc.",18904,51944,117911,113561,58905,150223,71338,582786.0
Ben Jevo Mgt. Inc.,41291,126625,86733,153440,14090,87545,66275,575999.0
Flamingo Transp. & Limo. Services Inc.,18634,135754,128198,121010,89199,38256,40469,571520.0
"49 Westchester Square Prestige Car Service, Corp.",69884,297928,120419,23209,14522,23394,20649,570005.0
Lakeview Cars Inc.,0,0,130938,228058,182337,3476,15087,559896.0
Empire International Ltd.,105430,129859,86782,97650,100716,20812,9884,551133.0
The Excellent C/S Inc,105371,167843,130186,140077,0,0,0,543477.0
Puebla Luxury Corp,0,64341,88246,109178,137381,74974,59300,533420.0
Joe M Leasing Corp,31524,119239,107934,95634,87595,50151,39952,532029.0
Alltown Limo Corp.,21723,129974,119236,118365,77239,33409,25716,525662.0
Church Ave C/S Inc,24194,176180,136598,108825,64144,8913,0,518854.0
Bell Car Svc Inc,38108,186293,90432,68061,67674,36701,28399,515668.0
Professional Car Service Inc,70442,99134,105630,97936,62559,34399,41117,511217.0
"Curb Transportation Services,Llc",0,0,0,0,112885,293653,102643,509181.0
"Park West Exec. Services, Inc.",123616,115228,92698,74112,58968,23745,8961,497328.0
Santo Domingo Car Limo Services Inc,109907,154838,75183,64545,49088,18363,7213,479137.0
Matamoros Car Service Inc.,17201,123884,102667,103471,65242,49863,12573,474901.0
New Bushwick Luxury Inc.,53260,111271,129798,85519,63628,20419,9415,473310.0
A & S Limousine Service Corp,17356,32143,196477,129311,57542,25675,12405,470909.0
Harlem Cars Inc.,69805,136608,122072,92756,36330,0,0,457571.0
Dv Luxury Transportation Corporation,34798,135359,103670,53258,57652,43429,25688,453854.0
Skyline Credit Ride Inc,0,22371,155825,158941,73389,15225,27836,453587.0
"Brothers Car Service, Inc.",12906,78288,94263,80934,62438,64338,57343,450510.0
Ny One Corp Car Inc,127200,96137,77939,63560,56741,19939,7056,448572.0
United Exp C/L Svce,72799,145589,103860,56109,30661,25730,11684,446432.0
Republica Car & Limo Service Corp.,39245,69548,79757,84823,75122,54899,41494,444888.0
Smile Transportation Group Inc,17734,49817,72450,95309,87108,58494,50063,430975.0
Lower East Side C/S Corp,68614,148410,106017,59559,26748,10173,7830,427351.0
New Black Luxury Cars Corp,0,85552,133085,117151,86326,1206,674,423994.0
Ny Minute Car Service Inc.,267,328,4715,134967,149884,98022,33209,421392.0
T & S Hillside Inc.,74770,96687,46796,69267,61166,38402,34281,421369.0
Asap Luxe Inc,5699,1163,1149,10608,8093,187952,203786,418450.0
Northside Bk Llc,56448,120726,96374,69041,40340,17333,16007,416269.0
Community Car Service Priscilla Corp,14607,90639,127974,105815,36837,21391,17475,414738.0
Exec Transport Inc,41579,95883,85541,88778,65494,19767,11941,408983.0
Dial Car Inc.,32339,90999,65552,79613,72170,34241,24307,399221.0
Mexicana High Class Inc.,72162,79449,69262,49318,45328,43542,32429,391490.0
"La Raza Car Service, Inc.",58980,127938,86923,66303,29819,8484,9597,388044.0
Seagull Ride Corp,5373,19708,82391,68476,73659,69579,68268,387454.0
Diane Car And Limo Service Llc,0,82209,102379,59707,72860,37778,30981,385914.0
Liberty Car Service Inc.,91411,159299,34487,53664,27030,9969,8829,384689.0
Harrison Global Llc,78646,93369,72971,58284,47102,15178,9790,375340.0
U.S.A. Limo. Inc.,80521,78640,72569,61970,56655,15178,7324,372857.0
New Heaven Radio Dispatch Corp,18692,65153,70950,85161,70289,37577,22781,370603.0
New Superior Radio Grp Corp,51034,96680,66131,54390,64415,20102,15401,368153.0
"Onix Transportation, Inc",0,514,34521,110497,115304,63540,25811,350187.0
Champion Car & Limo Svc. Inc.,16678,85993,79823,47153,61897,34310,22970,348824.0
Outside'S Car Service Inc.,0,8437,45744,79205,89017,74783,45946,343132.0
Surf Car Systems Inc,10268,123395,83256,43732,35714,24033,21689,342087.0
Bell Radio Inc,92178,67765,60503,54189,42816,17229,5608,340288.0
New Bell Car Service Corp,63304,74313,90850,46876,31794,20331,11322,338790.0
Gtwy Inc,55367,92063,46010,57462,43562,23762,15841,334067.0
910 Car Service Inc,48701,116393,97872,56287,7097,4162,3232,333744.0
A New Day Rad Disp Inc,111436,100985,66407,36749,10428,2724,885,329614.0
"New Storm Car Service, Inc.",27221,113523,86998,35707,0,37017,26610,327076.0
Bushwick Car Svce Inc,68545,133481,69663,45687,4148,2998,1425,325947.0
Bell Lx Inc,0,0,54323,97495,90949,46194,36684,325645.0
"Finest Car Service, Llc",2253,24011,80845,89090,36313,54517,32356,319385.0
"Winthrop Holding Of New York, Inc",20971,100930,66959,57106,37058,20990,8815,312829.0
Puerto Rico Car Service Inc.,29863,85912,103493,76572,8194,4229,2442,310705.0
Reagan Conveyance  Corp.,36436,61975,61190,59111,52462,17886,20196,309256.0
"79 Masada Iii, Inc.",964,5139,6878,53852,97217,74854,68782,307686.0
Baronas Luxury Ii Inc,78,8197,58924,98899,50574,61980,24938,303590.0
New Family Rad Disp Inc,50014,70573,86861,71283,17802,2626,3655,302814.0
Sdr Transportation Corp.,0,0,8636,102514,78202,72450,38871,300673.0
Munkacs Car Svc Ltd,48176,61158,57828,47297,38733,26012,21287,300491.0
Bensonhurst Ride Inc.,47463,72280,66033,51500,39454,12892,9812,299434.0
Love Corporate Car Inc,89701,66867,48663,38642,30822,11998,4377,291070.0
Big Apple Car Inc,94348,72915,49066,34198,25893,8218,4912,289550.0
440 Car Service Inc.,16451,123427,81364,37414,17874,9232,727,286489.0
"Reyno,Inc.",0,0,46519,95171,76430,37952,29979,286051.0
Cooperativa Clbna De Con Inc,26991,72618,76507,43881,34002,13574,15266,282839.0
"Central Car Services,Inc.",37560,97555,63700,25225,26952,16195,14766,281953.0
New Fat Inc.,69484,87573,56687,36125,10404,11225,4613,276111.0
"Super Fast Limousine Service, Inc.",29095,56783,42213,63439,45846,19488,17223,274087.0
U.P.S. Radio Dispatch Corp.,32979,164780,66966,5682,1128,0,0,271535.0
Natashas Grp Car Corp,62438,71022,41263,40676,30460,10947,12812,269618.0
"Rachel'S Car Service,Inc.",17022,65353,66457,69778,34682,14805,0,268097.0
"Ayy&M Transportation, Llc",5849,23805,42430,54084,56866,41000,40230,264264.0
T-D Maintenance,41601,50789,73358,41278,33691,12521,10150,263388.0
Communicar Incorporated,31039,68635,55102,47257,25700,16663,16682,261078.0
Church Avenue Express Inc,0,14320,23956,24931,21856,39727,135544,260334.0
J T Trans Co Inc,13142,29410,25614,72762,74193,27925,16725,259771.0
Tovar Transportation Inc,46156,72034,57584,27161,25916,17074,13469,259394.0
First Corporate Sedans Inc.,83412,121077,52964,0,0,0,0,257453.0
W.K. Car & Limo Service Inc,51609,74559,45082,40014,25725,8992,7635,253616.0
New York Apple Car Service Inc,20475,54819,54739,47929,28779,24392,22376,253509.0
La Morenita Car Limo Service Inc,71889,56346,50617,32224,24219,10904,6487,252686.0
Lil'D Dispatch Inc.,19062,33834,43720,42145,52423,31666,26256,249106.0
"Valera Global, Inc.",49503,48286,45413,41118,32456,16321,13480,246577.0
